                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.90347,                 0.4818,                 1.0867,                0.98247,                      1,                  0.995,                0.70227,                 1.1376,                0.43334,                 1.2586,              0.0014409,              0.0014409,              0.0014409
                    139,                0.86254,                0.46568,                 1.0695,                0.91251,                0.79167,                0.94213,                0.57482,                 1.4248,                0.93815,                 1.4977,              0.0014393,              0.0014393,              0.0014393
                    140,                0.90241,                0.48942,                 1.0855,                 0.9984,                      1,                  0.995,                0.70056,                 1.0906,                0.41314,                 1.2496,              0.0014376,              0.0014376,              0.0014376
                    141,                 0.8681,                 0.4701,                 1.0673,                      1,                0.97879,                0.99459,                0.68363,                 1.1351,                0.44363,                 1.2689,               0.001436,               0.001436,               0.001436
                    142,                0.87581,                0.46919,                 1.0749,                0.99792,                      1,                  0.995,                0.72631,                 1.0711,                0.41366,                  1.214,              0.0014343,              0.0014343,              0.0014343
                    143,                0.87719,                0.46937,                 1.0579,                0.99782,                      1,                  0.995,                0.71806,                 1.0592,                0.42603,                 1.2003,              0.0014327,              0.0014327,              0.0014327
                    144,                0.86957,                0.47285,                   1.07,                 0.9768,                      1,                0.98316,                0.70714,                 1.0589,                0.42275,                 1.2359,               0.001431,               0.001431,               0.001431
                    145,                0.87508,                 0.4727,                 1.0649,                 0.9735,                      1,                0.99418,                0.72957,                 1.0703,                0.43216,                 1.2106,              0.0014294,              0.0014294,              0.0014294
                    146,                0.89534,                0.49039,                 1.0832,                0.99957,                      1,                  0.995,                0.72036,                 1.0651,                0.40766,                 1.2246,              0.0014277,              0.0014277,              0.0014277
                    147,                0.86469,                0.45517,                 1.0768,                0.97754,                      1,                0.99092,                0.70275,                 1.1354,                0.44184,                 1.2483,              0.0014261,              0.0014261,              0.0014261
                    148,                0.85801,                0.47354,                 1.0849,                0.99859,                      1,                  0.995,                0.71731,                 1.0466,                0.39764,                   1.23,              0.0014244,              0.0014244,              0.0014244
                    149,                0.83262,                0.45965,                 1.0718,                0.99759,                      1,                  0.995,                0.69199,                 1.1023,                 0.4228,                 1.2633,              0.0014228,              0.0014228,              0.0014228
                    150,                0.87341,                0.46496,                 1.0817,                0.99865,                      1,                  0.995,                0.71306,                 1.0539,                0.39772,                 1.2363,              0.0014211,              0.0014211,              0.0014211
                    151,                0.82347,                 0.4636,                 1.0583,                 0.9991,                      1,                  0.995,                0.72506,                 1.0349,                0.40722,                 1.2265,              0.0014195,              0.0014195,              0.0014195
                    152,                0.84688,                0.46099,                 1.0677,                0.99864,                      1,                  0.995,                0.70679,                 1.0519,                0.39441,                 1.2347,              0.0014178,              0.0014178,              0.0014178
