                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 0.5359,                0.36469,                0.88369,                0.99132,                0.96748,                0.99292,                0.86332,                0.57655,                0.34462,                0.90333,              0.0017961,              0.0017961,              0.0017961
                    105,                0.55438,                 0.3793,                0.89205,                0.99752,                 0.9661,                0.99296,                0.86614,                0.58131,                0.34482,                0.91301,              0.0017941,              0.0017941,              0.0017941
                    106,                0.56659,                0.39614,                0.89239,                 0.9829,                0.97428,                 0.9937,                0.86248,                0.58305,                0.34288,                0.91964,              0.0017921,              0.0017921,              0.0017921
                    107,                0.59357,                0.40439,                 0.9019,                0.97774,                0.97458,                0.99264,                0.84351,                0.60977,                 0.3651,                0.92925,              0.0017901,              0.0017901,              0.0017901
                    108,                0.54582,                0.37545,                0.89288,                0.97922,                0.97458,                  0.993,                0.84918,                0.60393,                0.34269,                0.92257,              0.0017881,              0.0017881,              0.0017881
                    109,                0.51429,                0.36579,                0.87786,                0.96583,                0.99153,                0.99373,                 0.8529,                0.59548,                0.34506,                0.91672,              0.0017862,              0.0017862,              0.0017862
                    110,                0.55031,                0.37532,                0.88997,                0.97367,                0.98305,                0.99217,                0.85011,                0.60389,                0.38138,                0.91523,              0.0017842,              0.0017842,              0.0017842
                    111,                0.54936,                0.38005,                0.89249,                 0.9741,                0.95637,                0.97861,                0.81972,                0.67416,                0.42437,                0.95745,              0.0017822,              0.0017822,              0.0017822
                    112,                0.57984,                0.41234,                0.88958,                0.95748,                0.95416,                0.96708,                 0.8205,                0.63841,                0.46844,                0.94562,              0.0017802,              0.0017802,              0.0017802
                    113,                0.56856,                0.39974,                0.90546,                 0.9738,                0.94498,                0.97487,                0.83628,                0.62613,                0.45648,                0.93304,              0.0017782,              0.0017782,              0.0017782
                    114,                 0.6186,                0.40946,                0.89565,                  0.983,                 0.9803,                0.99084,                0.86602,                0.59223,                0.37117,                0.91385,              0.0017763,              0.0017763,              0.0017763
